threshold,cutoff,scope,event,N,n,missing,pi,width,observed_rate,q_median,q_lo,q_hi,lower_median,upper_median,lower_lo,lower_hi,upper_lo,upper_hi
0.0,1,endpoint,positive,1340,1029,311,0.767910447761194,0.232089552238806,0.3129251700680272,0.31294690721812835,0.28572870361292435,0.34197067696325956,0.24031519964735376,0.47240475188615977,0.21941405672962622,0.2626028556680553,0.4515036089684322,0.4946924079068613
0.0,1,endpoint,loss20,1340,1029,311,0.767910447761194,0.232089552238806,0.48104956268221577,0.48143190997058205,0.4500987367388466,0.5119720421024754,0.36969659355203643,0.6017861457908424,0.3456355224658755,0.3931486800921247,0.5777250747046815,0.6252382323309308
0.0,1,joint_tape,positive,1340,903,437,0.6738805970149254,0.3261194029850746,0.31450719822812845,0.3145225261972896,0.2854571473217607,0.3446588487976495,0.211950627728472,0.5380700307135466,0.1923640328593656,0.23225891079423694,0.5184834358444402,0.5583783137793116
0.0,1,joint_tape,loss20,1340,903,437,0.6738805970149254,0.3261194029850746,0.48283499446290146,0.48264903415309623,0.450110474442706,0.5160009634206316,0.32524781928376567,0.6513672222688403,0.3033207152401221,0.3477230372901719,0.6294401182251966,0.6738424402752465
0.0,5,endpoint,positive,1340,1032,308,0.7701492537313432,0.22985074626865676,0.33430232558139533,0.3344095379563139,0.30621300902297455,0.3633866793591714,0.25754525609769846,0.4873960023663552,0.23582972038187291,0.2798619799243768,0.4656804666505297,0.5097127261930335
0.0,5,endpoint,loss20,1340,1032,308,0.7701492537313432,0.22985074626865676,0.4476744186046512,0.4476192911185516,0.41768737142987866,0.4778426325031977,0.3447336630107054,0.5745844092793622,0.32168161739972745,0.3680101468233582,0.5515323636683841,0.597860893092015
0.0,5,joint_tape,positive,1340,903,437,0.6738805970149254,0.3261194029850746,0.3333333333333333,0.3333915452320605,0.30353741964804926,0.365289481371078,0.22466609354070943,0.550785496525784,0.20454797756879736,0.2461614937896145,0.530667380553872,0.5722808967746891
0.0,5,joint_tape,loss20,1340,903,437,0.6738805970149254,0.3261194029850746,0.4529346622369878,0.4527259646530385,0.4207185522513373,0.4856587331931103,0.3050832433445476,0.6312026463296222,0.2835140691663863,0.3272759970696855,0.6096334721514609,0.65339540005476
0.0,10,endpoint,positive,1340,1033,307,0.7708955223880597,0.2291044776119403,0.33978702807357214,0.33950738356597776,0.31102640065399884,0.36916450648933435,0.26172472180869777,0.4908291994206381,0.2397688596086424,0.2845872650772257,0.46887333722058266,0.513691742689166
0.0,10,endpoint,loss20,1340,1033,307,0.7708955223880597,0.2291044776119403,0.40174249757986447,0.401648129710778,0.3715128186417311,0.4312930646472428,0.30962874476957736,0.5387332223815177,0.28639756840067776,0.33248189237358344,0.5155020460126181,0.5615863699855237
0.0,10,joint_tape,positive,1340,903,437,0.6738805970149254,0.3261194029850746,0.3399778516057586,0.3399413870399184,0.30978959228321423,0.3717305637123132,0.22907990484854202,0.5551993078336166,0.20876119539682275,0.25050201420314844,0.5348805983818974,0.576621417188223
0.0,10,joint_tape,loss20,1340,903,437,0.6738805970149254,0.3261194029850746,0.4097452934662237,0.40972205006922713,0.3793092337505047,0.44237612460274334,0.2761037397108299,0.6022231426959045,0.255609132893064,0.2981086869524457,0.5817285358781386,0.6242280899375203
0.0,20,endpoint,positive,1340,1036,304,0.7731343283582089,0.22686567164179106,0.35424710424710426,0.3543497606249133,0.32521728042774867,0.38386609821307355,0.2739599641846345,0.5008256358264256,0.25143664367399077,0.2967800580214509,0.4783023153157818,0.523645729663242
0.0,20,endpoint,loss20,1340,1036,304,0.7731343283582089,0.22686567164179106,0.3561776061776062,0.35607612293069224,0.32691340989924583,0.3854639877906428,0.27529467414641584,0.5021603457882069,0.2527479795937453,0.29801544130679547,0.47961365123553634,0.5248811129485865
0.0,20,joint_tape,positive,1340,903,437,0.6738805970149254,0.3261194029850746,0.3554817275747508,0.35502113332284135,0.325084231450322,0.38712773664372074,0.23924185327651176,0.5653612562615863,0.21906795596988116,0.26087787029050735,0.5451873589549557,0.5869972732755818
0.0,20,joint_tape,loss20,1340,903,437,0.6738805970149254,0.3261194029850746,0.35437430786268,0.35455366260775545,0.32363993783028056,0.3857299801990165,0.2389268338319427,0.5650462368170173,0.21809467452294282,0.2599359493430686,0.5442140775080174,0.5860553523281432
500000000.0,1,endpoint,positive,164,141,23,0.8597560975609756,0.1402439024390244,0.41134751773049644,0.4111278740775032,0.3326971210149169,0.4947916505377523,0.3534696966154143,0.4937135990544387,0.2860383784335566,0.42540013857209186,0.426282280872581,0.5656440410111162
500000000.0,1,endpoint,loss20,164,141,23,0.8597560975609756,0.1402439024390244,0.3617021276595745,0.3612469191471456,0.2854249872128273,0.44110344328526935,0.31058424146187513,0.45082814390089954,0.24539587315249176,0.37924137501965227,0.38563977559151613,0.5194852774586767
500000000.0,1,joint_tape,positive,164,136,28,0.8292682926829268,0.1707317073170732,0.4117647058823529,0.413292555570097,0.3336970338226642,0.49539666239082514,0.342730411936178,0.5134621192532511,0.2767243695114776,0.41081674442165983,0.4474560768285508,0.581548451738733
500000000.0,1,joint_tape,loss20,164,136,28,0.8292682926829268,0.1707317073170732,0.35294117647058826,0.3521430446351179,0.275678955653523,0.43550276899426843,0.2920210614047319,0.4627527687218051,0.2286118168834093,0.361148637702564,0.3993435242004825,0.5318803450196372
