variable,form,n_train,n_test,intercept,slope,slope_lo,slope_hi,heldout_mse,half_life_days,selected_form,selected_minus_alternative_mse,delta_lo,delta_hi
daily_ti,constant,649,240,0.41113399957731633,,,,1.8398628684520777,,power,-0.10887339261784694,-0.12437142627098906,-0.09485502703634092
daily_ti,power,649,240,2.256097289917807,-0.5870954406588589,-0.6232126424761509,-0.547436081519614,1.5883682601376086,,power,-0.10887339261784694,-0.12437142627098906,-0.09485502703634092
daily_ti,exponential,649,240,1.1295512920949045,-0.02357776243033368,-0.025688849776634316,-0.021542065240223455,1.6972416527554557,,power,-0.10887339261784694,-0.12437142627098906,-0.09485502703634092
abs_return,constant,659,240,-0.09333283428857508,,,,1.3374682580458277,,power,-0.004283397650366501,-0.006341037278192216,-0.002248605457361747
abs_return,power,659,240,0.23401571341666005,-0.10239846298809462,-0.12543526551589548,-0.07589692635083711,1.3285632777710812,,power,-0.004283397650366501,-0.006341037278192216,-0.002248605457361747
abs_return,exponential,659,240,0.007803701264096908,-0.003263830925276989,-0.004370227651536675,-0.002159221477457199,1.3328466754214476,,power,-0.004283397650366501,-0.006341037278192216,-0.002248605457361747
