phase,threshold,cutoff,comparison,delta,lo,hi,n
final,1000000000.0,10,M3-M2,0.051612487323397044,0.004847747944683654,0.10307363800837653,18
final,1000000000.0,20,M1-M0,0.015430875060506714,-0.02445537764108098,0.051729847748837966,18
final,1000000000.0,20,M2-M1,0.1302522337928545,0.0016271379925733452,0.29290608168262555,18
final,1000000000.0,20,M3-M2,0.009864391189666803,-0.0244712608054614,0.04504652567066094,18
final,2000000000.0,5,M1-M0,0.02713439251419751,0.003668426371556,0.05611965982971399,4
final,2000000000.0,5,M2-M1,0.16401059094023118,-0.005320574739808372,0.43535600062440816,4
final,2000000000.0,5,M3-M2,0.010990589143306674,-0.08108980845755814,0.0789613987415541,4
final,2000000000.0,10,M1-M0,-0.026278609414764016,-0.1470827067482033,0.05466290552591385,4
final,2000000000.0,10,M2-M1,0.03173187190351477,-0.023759170934950693,0.06907389714019985,4
final,2000000000.0,10,M3-M2,0.10732421426256827,0.04707061606161523,0.1474090191830129,4
final,2000000000.0,20,M1-M0,0.011238555407627948,-0.01794852474368375,0.040425635558939646,4
final,2000000000.0,20,M2-M1,0.03141100659967265,-0.011468111324270905,0.07887634740123413,4
final,2000000000.0,20,M3-M2,0.036029034089673395,-0.022357590736656472,0.09511062601460551,4
