phase,benchmark,likelihood,kind,cutoff,n,log_score,crps,mae,rmse,coverage50,coverage50_lo,coverage50_hi,coverage80,coverage80_lo,coverage80_hi,coverage95,coverage95_lo,coverage95_hi
development,growth,student,M2,5,298,-1.0909227629263125,0.38903832379093456,0.49561040808263485,0.7335071158107493,0.3724832214765101,0.3190371314125333,0.4283928131903512,0.6644295302013423,0.6094327456858846,0.7162497978796613,0.8355704697986577,0.7903414571890086,0.8743196499970514
development,growth,student,M2,10,298,-1.0402168431801515,0.3765968391013988,0.4750156314870669,0.7378906685934199,0.42953020134228187,0.37423364054004477,0.4861882133475323,0.6510067114093959,0.595637290366799,0.7034588846151764,0.825503355704698,0.7793743242398607,0.8653466167539072
development,growth,student,M2,20,298,-0.8293490626850586,0.30982322432510195,0.3942408554523008,0.613830311327477,0.43288590604026844,0.3775044537174506,0.4895639801280796,0.6644295302013423,0.6094327456858846,0.7162497978796613,0.8422818791946308,0.7976836178886495,0.8802709709054861
development,growth,student,M3,1,298,-1.3093919893323374,0.4552539391807271,0.578195303526841,0.8277565544635829,0.39932885906040266,0.34491490231062744,0.4556877190897703,0.6208053691275168,0.5647669227724961,0.6745099606521012,0.7986577181208053,0.7503740838304769,0.8411733384816512
development,growth,student,M3,5,298,-1.0483503762270279,0.3836818708996627,0.4942488322518223,0.730002231400133,0.412751677852349,0.3579189244943817,0.46927002560112013,0.6778523489932886,0.623276352602727,0.7289925722336339,0.8523489932885906,0.8087461599928563,0.889148717715166
development,growth,student,M3,10,298,-0.9824803937142341,0.37372891667893615,0.4773105770354746,0.7446790915679483,0.41946308724832215,0.36443690803882617,0.4760452044294698,0.7080536912751678,0.6546087515581636,0.7574795884669693,0.8422818791946308,0.7976836178886495,0.8802709709054861
development,growth,student,M3,20,298,-0.7857996656953095,0.30738584960085913,0.3938043172136156,0.6133445885313613,0.4563758389261745,0.40047273235627845,0.5131217553280761,0.7046979865771812,0.6511143214758015,0.7543274123246378,0.87248322147651,0.8310678775011828,0.9067078869845369
final,growth,student,M0,1,244,-1.224339468717551,0.445139487271232,0.5837379506004549,0.8158283940811536,0.39344262295081966,0.33369739350919664,0.4556990344767455,0.6680327868852459,0.6072366364181121,0.7248692399243593,0.889344262295082,0.8454334458348282,0.9240901342824471
final,growth,student,M0,5,244,-1.1180211987748019,0.4052756150465721,0.5260335801949633,0.7524040225144148,0.4098360655737705,0.34948917892745107,0.4723078214957241,0.6844262295081968,0.6242035903320691,0.7403029603822675,0.8729508196721312,0.8268413120901499,0.9102793470384434
final,growth,student,M0,10,244,-1.0500715688828473,0.38122736821404424,0.4939499296907922,0.7169863534761577,0.3770491803278688,0.31797716887480715,0.43901867206321127,0.6721311475409836,0.6114707703841242,0.7287352715925942,0.8729508196721312,0.8268413120901499,0.9102793470384434
final,growth,student,M0,20,244,-0.8432905831704975,0.31563338500189797,0.41188272872070636,0.6066000584945181,0.38934426229508196,0.32976056677489385,0.45153571593509273,0.7049180327868853,0.645529543830401,0.7594779000323656,0.8934426229508197,0.850121423100588,0.9275030130030295
final,growth,student,M1,5,244,-1.1143856324512327,0.40457951801320313,0.5245218507327575,0.7526318467697469,0.4098360655737705,0.34948917892745107,0.4723078214957241,0.680327868852459,0.6199541972677102,0.7364521818051633,0.8811475409836066,0.8361068672719101,0.9172151621368011
final,growth,student,M1,10,244,-1.039412426490601,0.3805115693495983,0.4916031328455506,0.7204103380221604,0.38934426229508196,0.32976056677489385,0.45153571593509273,0.6721311475409836,0.6114707703841242,0.7287352715925942,0.8770491803278688,0.8314667925595619,0.9137545314058142
final,growth,student,M1,20,244,-0.8337540431726812,0.3143258319466176,0.40994648862495586,0.6069834344791901,0.4057377049180328,0.34553460617720444,0.4681622523485599,0.7131147540983607,0.6540979165163847,0.767109903032342,0.8975409836065574,0.8548269573541132,0.9308983970580953
final,growth,student,M2,1,244,-1.253709228216189,0.45396972969910226,0.588536521815093,0.832016366464214,0.38524590163934425,0.3258282361119328,0.4473679003639198,0.6516393442622951,0.5903495506486763,0.7093556806692126,0.8729508196721312,0.8268413120901499,0.9102793470384434
final,growth,student,M2,5,244,-1.1439263882097088,0.41084238691333597,0.530945273537018,0.7592324479153072,0.39344262295081966,0.33369739350919664,0.4556990344767455,0.6639344262295082,0.603007491906792,0.7209982206310179,0.8483606557377049,0.7993644423107058,0.8891528963080514
final,growth,student,M2,10,244,-1.0410907972721188,0.3782354944847338,0.48786330609860595,0.7102557020679129,0.38934426229508196,0.32976056677489385,0.45153571593509273,0.6721311475409836,0.6114707703841242,0.7287352715925942,0.860655737704918,0.8130466942386078,0.899772178233385
final,growth,student,M2,20,244,-0.8410305717309076,0.31460105656285275,0.41175583931013093,0.6041263881956107,0.3975409836065574,0.3376386913410761,0.45985788100945735,0.7172131147540983,0.6583905087122854,0.7709175031386516,0.8975409836065574,0.8548269573541132,0.9308983970580953
