coefficient,median,lo,hi,p_positive,p_negative,size_conditioned,kind,cutoff,benchmark,phase,fold,prior_multiplier
log_size,0.10312971719770075,0.06202740673703832,0.14670297352951825,1.0,0.0,True,M2,1,growth,development,2022,1.0
log_ti,-0.19513776220795026,-0.24104219998398219,-0.15041553597782312,0.0,1.0,True,M2,1,growth,development,2024,1.0
log_size,0.1824406816485172,0.14507254223907917,0.2225183935194554,1.0,0.0,True,M2,1,growth,development,2024,1.0
early_car,0.0027949253095505117,-0.04012068524881991,0.041865905421180474,0.55625,0.44375,True,M2,5,growth,development,2022,1.0
log_ti,-0.06406065359911411,-0.10329243664654539,-0.026934271094415565,0.0,1.0,True,M2,5,growth,development,2022,1.0
log_size,0.05748347116217467,0.018636994649651326,0.09681291645602318,0.9984375,0.0015625,True,M2,5,growth,development,2022,1.0
early_car,0.030899520602813663,-0.0184381744981148,0.07493004906271444,0.8940625,0.1059375,True,M2,5,growth,development,2024,1.0
log_ti,-0.13686373856284134,-0.17788789104342945,-0.09698599916164367,0.0,1.0,True,M2,5,growth,development,2024,1.0
log_size,0.08807052084038405,0.05148683296796303,0.12563360240315907,1.0,0.0,True,M2,5,growth,development,2024,1.0
early_car,0.01418469928117154,-0.025180156557773937,0.052486082896904346,0.75875,0.24125,True,M2,10,growth,development,2022,1.0
log_ti,-0.0566523947821096,-0.09193961587780926,-0.021447195516278408,0.00125,0.99875,True,M2,10,growth,development,2022,1.0
log_size,0.04833161014994532,0.013697779279624482,0.08319920213373712,0.9965625,0.0034375,True,M2,10,growth,development,2022,1.0
early_car,0.01181440473812871,-0.02927184621807246,0.05364530224547898,0.703125,0.296875,True,M2,10,growth,development,2024,1.0
log_ti,-0.10964189218782298,-0.14525235680138862,-0.07264013987712688,0.0,1.0,True,M2,10,growth,development,2024,1.0
log_size,0.06499522700267374,0.02948384581393734,0.10094915672209126,1.0,0.0,True,M2,10,growth,development,2024,1.0
early_car,0.00952709593383053,-0.023431133826432853,0.04640113553015991,0.71875,0.28125,True,M2,20,growth,development,2022,1.0
log_ti,-0.03133514769308361,-0.06307113073402973,-0.0005205319409995305,0.0234375,0.9765625,True,M2,20,growth,development,2022,1.0
log_size,0.04072207295079753,0.012066000166268303,0.07095750478949082,0.99625,0.00375,True,M2,20,growth,development,2022,1.0
early_car,0.02002501486397821,-0.01752991802744446,0.058435707430464126,0.85,0.15,True,M2,20,growth,development,2024,1.0
log_ti,-0.06777529170458454,-0.0998772712126727,-0.03529953492500471,0.0,1.0,True,M2,20,growth,development,2024,1.0
log_size,0.05041835067213303,0.019476858965739478,0.08131225989719144,0.9984375,0.0015625,True,M2,20,growth,development,2024,1.0
early_car,0.0022430018752508957,-0.04432674785454634,0.04860274178026368,0.538125,0.461875,True,M3,5,growth,development,2022,1.0
log_ti,-0.06656116953303085,-0.10730917987275598,-0.025270042052991836,0.0003125,0.9996875,True,M3,5,growth,development,2022,1.0
log_size,0.05753761142507077,0.018896561696159157,0.09801214050229637,0.99875,0.00125,True,M3,5,growth,development,2022,1.0
delta_rv,0.10186952509620269,-0.008225982289703955,0.21819897354398868,0.9625,0.0375,True,M3,5,growth,development,2022,1.0
early_car,0.01620782063167387,-0.04029645145188226,0.07475693372421728,0.691875,0.308125,True,M3,5,growth,development,2024,1.0
log_ti,-0.13911556820331522,-0.18181317900946156,-0.09829887496080027,0.0,1.0,True,M3,5,growth,development,2024,1.0
log_size,0.09422015177505391,0.05561682771688915,0.1315868684950575,1.0,0.0,True,M3,5,growth,development,2024,1.0
delta_rv,0.23477200474662502,0.14449524783162593,0.34014719195595394,1.0,0.0,True,M3,5,growth,development,2024,1.0
early_car,0.027757247975684497,-0.018208112432207508,0.07710490531903257,0.8746875,0.1253125,True,M3,10,growth,development,2022,1.0
log_ti,-0.043410460594269853,-0.08414746605567187,-0.0005532842473254063,0.0240625,0.9759375,True,M3,10,growth,development,2022,1.0
log_size,0.04481334147662641,0.00913254702435729,0.08104040028307467,0.9928125,0.0071875,True,M3,10,growth,development,2022,1.0
delta_rv,0.14953375556188223,0.03489438911784048,0.2692061848880532,0.994375,0.005625,True,M3,10,growth,development,2022,1.0
early_car,0.0209176356189478,-0.034658555286670466,0.07198728217430007,0.7675,0.2325,True,M3,10,growth,development,2024,1.0
log_ti,-0.09793130761465912,-0.14262936888407904,-0.057310278999429434,0.0,1.0,True,M3,10,growth,development,2024,1.0
log_size,0.06743453877196384,0.03358285059517491,0.10210963679144988,1.0,0.0,True,M3,10,growth,development,2024,1.0
delta_rv,0.2597281695372834,0.17013141957661373,0.35952011425041136,1.0,0.0,True,M3,10,growth,development,2024,1.0
