day,q10,q25,q50,q75,q90,variable,group
15,0.004043690844994341,0.0117848941132217,0.027096958111509917,0.057900005215286265,0.10961057323925678,abs_return,all
16,0.003859557375533029,0.011054700504266268,0.027028672387919173,0.05687935600828209,0.1045770331462573,abs_return,all
17,0.004099410284196026,0.011417309196046999,0.02816372280125501,0.05965754076842189,0.10261793251538488,abs_return,all
18,0.0048626590432869765,0.014093645241553654,0.03352272627707542,0.0641512563526554,0.11254437072029394,abs_return,all
19,0.003438882973765489,0.013234474123584,0.03102029005668916,0.06554843562621199,0.1084986747964538,abs_return,all
20,0.004904600813453985,0.01233031921376404,0.029289070474111778,0.058222381254323746,0.10008350581246123,abs_return,all
21,0.00416660213023361,0.013433996590913155,0.029852989302822763,0.05634400587619437,0.10028876604088259,abs_return,all
22,0.004213501017752525,0.01312674819451165,0.029916766554547003,0.05832044978512568,0.09525658712487355,abs_return,all
23,0.004674783676685212,0.013188376364145382,0.03154840329987246,0.06146787509510121,0.10803589001467453,abs_return,all
24,0.005053321723952564,0.01273533991653042,0.028861535141062156,0.05901463613038754,0.09826785572575647,abs_return,all
25,0.004153552907829016,0.010204167339018078,0.02644717298695376,0.05754259281019625,0.0997072441270083,abs_return,all
26,0.004341067201779225,0.013425501731679473,0.02977212951384245,0.05873897346527435,0.0981871553870121,abs_return,all
27,0.004197857506838876,0.01323546432021172,0.03114674099038295,0.06174375661227072,0.10489738215070964,abs_return,all
28,0.0036942175584183446,0.012107724189385216,0.02806305903179629,0.057836971935324,0.10571350652963353,abs_return,all
29,0.004819345108931472,0.011054620256354397,0.028734731215414477,0.053921883584570396,0.10443786871422965,abs_return,all
30,0.004874743324915576,0.011744409492408736,0.028104941752796764,0.05765756222515328,0.10405716634093184,abs_return,all
31,0.0051134619320311716,0.013912291614392336,0.031162671974878986,0.06005351193808384,0.10712054742149202,abs_return,all
32,0.004422229441602177,0.012150151822665711,0.028953997800778453,0.06175067034345494,0.10669070120033468,abs_return,all
33,0.004507153600669067,0.012544864029301328,0.030771629315981652,0.059244392604024254,0.09837662976024285,abs_return,all
34,0.0044179475740330435,0.011702873945552472,0.029587957853458136,0.0561047069338384,0.1009331845997751,abs_return,all
35,0.005017590125219229,0.011872512792512335,0.02739899089412079,0.05813592787352684,0.10350371881350286,abs_return,all
36,0.004736662416644855,0.012527071303237935,0.030120282616452165,0.05830435859110818,0.09909961222135764,abs_return,all
37,0.0039183855409191,0.012182322708225723,0.028760112274754057,0.06041860761015305,0.10098194436311324,abs_return,all
38,0.0039793718165464405,0.011768607953030918,0.028675773017675432,0.06026708828509636,0.09400078163892113,abs_return,all
39,0.004445046736879998,0.012909809096717018,0.02938426593915988,0.05672348250867841,0.09464281544500931,abs_return,all
40,0.004395688943229281,0.013212548762269405,0.030226731609533708,0.05752283629131838,0.09903115516363546,abs_return,all
41,0.004636758716804668,0.014177609942756408,0.02991254993273218,0.06002061109767413,0.10147627086640637,abs_return,all
42,0.004080012079337702,0.011504717229396944,0.029853036004861,0.059324901760029886,0.09985123990965603,abs_return,all
43,0.004489756215091623,0.011184786539216729,0.026265500154654564,0.05741743883907158,0.09751971285929022,abs_return,all
44,0.004412634484479172,0.012913811580128831,0.029270355062651188,0.056511393271751253,0.09638586165667054,abs_return,all
45,0.004164980473309244,0.011778089360469979,0.026668292301427088,0.05678327013963169,0.09656663238576339,abs_return,all
46,0.004288141130474532,0.012167492290804605,0.0280228893383212,0.05654588994707371,0.10169288082680891,abs_return,all
47,0.003903018048387974,0.011474080611154458,0.02681996719399793,0.05424521852078855,0.09040765363606422,abs_return,all
