phase,threshold,kind,cutoff,n,log_score,crps,p_positive,observed_positive,coverage50,coverage50_lo,coverage50_hi,coverage80,coverage80_lo,coverage80_hi,coverage95,coverage95_lo,coverage95_hi
development,0.0,M0,1,298,-1.3982213780754298,0.4890016432058791,0.28152308533004844,0.23825503355704697,0.4161073825503356,0.36117659329714835,0.47265893813688975,0.6241610738255033,0.5681856604465109,0.6777378087114709,0.802013422818792,0.7539809202214327,0.844213174930214
development,0.0,M0,5,298,-1.1678964713572202,0.4103262669573254,0.2840529407443067,0.2785234899328859,0.3859060402684564,0.33195404247067944,0.442062244130975,0.6442953020134228,0.5887571955730394,0.6970457993236285,0.8120805369127517,0.7648317780997838,0.853302362595953
development,0.0,M0,10,298,-1.092183297370879,0.3918597158631266,0.30242839648975267,0.3221476510067114,0.3926174496644295,0.3384290308036961,0.4488804240261586,0.6543624161073825,0.5990817159966666,0.7066610500407597,0.825503355704698,0.7793743242398607,0.8653466167539072
development,0.0,M0,20,298,-0.8701554953735211,0.3178668033116972,0.31638173046316764,0.3187919463087248,0.4228187919463087,0.36769985977811503,0.4794288334345197,0.6644295302013423,0.6094327456858846,0.7162497978796613,0.8489932885906041,0.8050518394908361,0.8861962655874216
development,0.0,M1,1,298,-1.3982213780754298,0.4890016432058791,0.28152308533004844,0.23825503355704697,0.4161073825503356,0.36117659329714835,0.47265893813688975,0.6241610738255033,0.5681856604465109,0.6777378087114709,0.802013422818792,0.7539809202214327,0.844213174930214
development,0.0,M1,5,298,-1.1605964119857801,0.4118768626497255,0.2901495347837005,0.2785234899328859,0.3825503355704698,0.3287206610745549,0.4386490407478008,0.6543624161073825,0.5990817159966666,0.7066610500407597,0.8154362416107382,0.7684591852435426,0.8563216471402284
development,0.0,M1,10,298,-1.0784756311691204,0.3920689989253412,0.30245772561355033,0.3221476510067114,0.40268456375838924,0.34816188945906684,0.45908731464690516,0.6577181208053692,0.6025290866552511,0.7098602711467326,0.8355704697986577,0.7903414571890086,0.8743196499970514
development,0.0,M1,20,298,-0.8549652460392595,0.3168546834456899,0.316532140589123,0.3187919463087248,0.4463087248322148,0.39061369191853706,0.5030410595366784,0.6610738255033557,0.6059794228276782,0.7130565274745142,0.8456375838926175,0.8013643860524371,0.883236956265263
development,0.0,M2,1,298,-1.3093919893323374,0.455253939180727,0.2738745826130315,0.23825503355704697,0.39932885906040266,0.34491490231062744,0.4556877190897703,0.6208053691275168,0.5647669227724961,0.6745099606521012,0.7986577181208053,0.7503740838304769,0.8411733384816512
development,0.0,M2,5,298,-1.0909227629263125,0.38903832379093456,0.2878918076164414,0.2785234899328859,0.3724832214765101,0.3190371314125333,0.4283928131903512,0.6644295302013423,0.6094327456858846,0.7162497978796613,0.8355704697986577,0.7903414571890086,0.8743196499970514
development,0.0,M2,10,298,-1.0402168431801515,0.37659683910139874,0.298606926608566,0.3221476510067114,0.42953020134228187,0.37423364054004477,0.4861882133475323,0.6510067114093959,0.595637290366799,0.7034588846151764,0.825503355704698,0.7793743242398607,0.8653466167539072
development,0.0,M2,20,298,-0.8293490626850586,0.30982322432510195,0.3159389142241073,0.3187919463087248,0.43288590604026844,0.3775044537174506,0.4895639801280796,0.6644295302013423,0.6094327456858846,0.7162497978796613,0.8422818791946308,0.7976836178886495,0.8802709709054861
development,0.0,M3,1,298,-1.3093919893323374,0.455253939180727,0.2738745826130315,0.23825503355704697,0.39932885906040266,0.34491490231062744,0.4556877190897703,0.6208053691275168,0.5647669227724961,0.6745099606521012,0.7986577181208053,0.7503740838304769,0.8411733384816512
development,0.0,M3,5,298,-1.0483503762270279,0.3836818708996627,0.30062735870925367,0.2785234899328859,0.412751677852349,0.3579189244943817,0.46927002560112013,0.6778523489932886,0.623276352602727,0.7289925722336339,0.8523489932885906,0.8087461599928563,0.889148717715166
development,0.0,M3,10,298,-0.9824803937142339,0.37372891667893615,0.3189373156304001,0.3221476510067114,0.41946308724832215,0.36443690803882617,0.4760452044294698,0.7080536912751678,0.6546087515581636,0.7574795884669693,0.8422818791946308,0.7976836178886495,0.8802709709054861
development,0.0,M3,20,298,-0.7857996656953095,0.30738584960085913,0.3345545163655534,0.3187919463087248,0.4563758389261745,0.40047273235627845,0.5131217553280761,0.7046979865771812,0.6511143214758015,0.7543274123246378,0.87248322147651,0.8310678775011828,0.9067078869845369
development,500000000.0,M0,1,24,-0.2144495381352768,0.1513970752582959,0.5562910836286256,0.4166666666666667,0.7083333333333334,0.5107635656677039,0.8589754100930019,1.0,0.9016123956141302,0.999979752433282,1.0,0.9016123956141302,0.999979752433282
development,500000000.0,M0,5,24,-0.11561531499281898,0.13764340233337718,0.504697731033864,0.375,0.5833333333333334,0.3860203900990539,0.7618487306979931,1.0,0.9016123956141302,0.999979752433282,1.0,0.9016123956141302,0.999979752433282
development,500000000.0,M0,10,24,-0.03652042888946765,0.12783853265277434,0.49961207470786767,0.4583333333333333,0.6666666666666666,0.46773060400697103,0.8280358336978952,1.0,0.9016123956141302,0.999979752433282,1.0,0.9016123956141302,0.999979752433282
development,500000000.0,M0,20,24,0.09899602347606047,0.11138614724124928,0.501202895415168,0.4583333333333333,0.6666666666666666,0.46773060400697103,0.8280358336978952,1.0,0.9016123956141302,0.999979752433282,1.0,0.9016123956141302,0.999979752433282
development,500000000.0,M1,1,24,-0.2144495381352768,0.1513970752582959,0.5562910836286256,0.4166666666666667,0.7083333333333334,0.5107635656677039,0.8589754100930019,1.0,0.9016123956141302,0.999979752433282,1.0,0.9016123956141302,0.999979752433282
development,500000000.0,M1,5,24,-0.11978402443043841,0.13898118685943375,0.5063720798503247,0.375,0.5833333333333334,0.3860203900990539,0.7618487306979931,1.0,0.9016123956141302,0.999979752433282,1.0,0.9016123956141302,0.999979752433282
development,500000000.0,M1,10,24,-0.03406820001049793,0.12779139265890893,0.49521416540653423,0.4583333333333333,0.625,0.42618641474541646,0.7956256354352873,1.0,0.9016123956141302,0.999979752433282,1.0,0.9016123956141302,0.999979752433282
development,500000000.0,M1,20,24,0.09696952348761352,0.11245512855427801,0.4942940376351921,0.4583333333333333,0.7083333333333334,0.5107635656677039,0.8589754100930019,1.0,0.9016123956141302,0.999979752433282,1.0,0.9016123956141302,0.999979752433282
development,500000000.0,M2,1,24,-0.238214090246368,0.15903917359569852,0.5682173265555899,0.4166666666666667,0.6666666666666666,0.46773060400697103,0.8280358336978952,0.9583333333333334,0.8213050812010269,0.9954668098727285,1.0,0.9016123956141302,0.999979752433282
development,500000000.0,M2,5,24,-0.08414063183970555,0.1335262297062045,0.4841904822333569,0.375,0.5833333333333334,0.3860203900990539,0.7618487306979931,1.0,0.9016123956141302,0.999979752433282,1.0,0.9016123956141302,0.999979752433282
development,500000000.0,M2,10,24,-0.03636122196132314,0.12923818317015046,0.4787768370849343,0.4583333333333333,0.7083333333333334,0.5107635656677039,0.8589754100930019,1.0,0.9016123956141302,0.999979752433282,1.0,0.9016123956141302,0.999979752433282
