cutoff,model,p_positive,p_loss20,median_log,ipo_id,ticker,ipo_date,ipo_proceeds,realized,lo50,hi50,lo80,hi80,lo95,hi95
0,M0,0.14659428091183824,0.7364349332693026,-0.4930503712122063,ELOG_20250828,ELOG,2025-08-28 00:00:00,6400000.0,-0.3321149299717584,-0.7796377434992507,-0.2082605627473382,-1.125671476966409,0.16655008402259525,-1.8242586653070385,0.7988569847826028
1,M2,0.17649123739381056,0.6753771399228099,-0.4043849701960035,ELOG_20250828,ELOG,2025-08-28 00:00:00,6400000.0,-0.3321149299717584,-0.6708626906388799,-0.12674400680203324,-1.0095094735646015,0.23465831835442974,-1.739021388698494,0.9044289456587806
5,M3,0.24650669846471573,0.557618590266808,-0.2745982878738193,ELOG_20250828,ELOG,2025-08-28 00:00:00,6400000.0,0.02564229918467531,-0.5407158847391135,-0.008752352605798562,-0.8482655522128129,0.32359400910686575,-1.4116384518406884,0.8688994720799342
10,M3,0.28347139426593637,0.48582430125429,-0.2063762797531937,ELOG_20250828,ELOG,2025-08-28 00:00:00,6400000.0,-0.13569555751052484,-0.44518507964300014,0.03311299264941299,-0.7333846493031032,0.34866820111065083,-1.3088276307332602,0.862798616021287
20,M3,0.2861148497539334,0.4262266015761803,-0.16749482366545715,ELOG_20250828,ELOG,2025-08-28 00:00:00,6400000.0,-0.06624891406416554,-0.36237309683706836,0.03191845489591943,-0.6005629142115803,0.28874960189263044,-1.085995359566889,0.7703918360421386
0,M0,0.2027354850366726,0.639679093359919,-0.3698576393150721,POM_20251008,POM,2025-10-08 00:00:00,20000016.0,-2.5229326306654185,-0.654541024885642,-0.0881381885745076,-1.00198555705344,0.2905762057027858,-1.7016219021824373,0.9259752931301046
1,M2,0.13725334255531352,0.7458468418235924,-0.49707527256659473,POM_20251008,POM,2025-10-08 00:00:00,20000016.0,-2.5229326306654185,-0.7611205639377998,-0.22441099445848317,-1.0925930031955697,0.14784628951227533,-1.8044623204815677,0.8203416459658727
5,M3,0.1634382829086829,0.6703398920048533,-0.3782455429994204,POM_20251008,POM,2025-10-08 00:00:00,20000016.0,-2.699628042327901,-0.611194223350409,-0.13450429513549533,-0.9057727111728566,0.1637137263913967,-1.4232252019086777,0.6631762414442698
10,M3,0.17675767011047216,0.6164848492724831,-0.3165280939444702,POM_20251008,POM,2025-10-08 00:00:00,20000016.0,-2.5916820150780224,-0.5195910084840538,-0.10482716466350742,-0.7877081466713114,0.1739816328438642,-1.2949595958940405,0.6295109351665374
20,M3,0.18806471737681119,0.5518287571459775,-0.2548966350815157,POM_20251008,POM,2025-10-08 00:00:00,20000016.0,-2.8721383440587998,-0.44235320195406824,-0.06891828665048595,-0.6611898933787077,0.15713126938133695,-1.1035241954485036,0.6063601120361969
0,M0,0.7223310212681272,0.15461180170617703,0.262730331127932,MDLN_20251217,MDLN,2025-12-17 00:00:00,6264999978.0,0.032290404938221336,-0.026453110404960414,0.5431959593189114,-0.3667102367518485,0.9055112336178026,-1.0654046232064613,1.5944456218806715
1,M2,0.7472371825666535,0.13673439053173606,0.28084464429209377,MDLN_20251217,MDLN,2025-12-17 00:00:00,6264999978.0,0.032290404938221336,0.01419065867081748,0.5585638899596939,-0.3164047313065894,0.936505040584287,-1.0435812651702046,1.6412114912947724
5,M3,0.6400601320274344,0.16563345591911363,0.12122120061015088,MDLN_20251217,MDLN,2025-12-17 00:00:00,6264999978.0,0.007675285776817656,-0.0997786958644219,0.3394123065740186,-0.3584450757874036,0.6116374759164491,-0.8050246204768947,1.0476331591217123
10,M3,0.5899891326835967,0.17357808275034992,0.0669461066317907,MDLN_20251217,MDLN,2025-12-17 00:00:00,6264999978.0,0.03208279816495582,-0.1172892106148785,0.25087978054597593,-0.33943721427576146,0.498794982157065,-0.807186833958214,0.9087214047435292
20,M3,0.5856895580675567,0.15816514118909694,0.05870637397189262,MDLN_20251217,MDLN,2025-12-17 00:00:00,6264999978.0,0.027635819198014226,-0.114879777974925,0.22997022295667077,-0.3082969062159337,0.44414108026328974,-0.7264491100336645,0.8443827009942332
0,M0,0.35734696367618257,0.432002300218023,-0.14781040655288347,SGP_20260206,SGP,2026-02-06 00:00:00,150000000.0,-0.16310500942284206,-0.42790786116658613,0.129608181247035,-0.7776263890569701,0.5019017059837647,-1.481675537834239,1.159277745765329
1,M2,0.4686443593365911,0.31827688093665335,-0.029668099777950374,SGP_20260206,SGP,2026-02-06 00:00:00,150000000.0,-0.16310500942284206,-0.29817828531580987,0.23857856386893075,-0.6269304614134852,0.6092069191167271,-1.3434552692010777,1.2917303394227457
5,M3,0.4591251720739822,0.2762059668878929,-0.027743802996053158,SGP_20260206,SGP,2026-02-06 00:00:00,150000000.0,-0.2229535022977844,-0.24123035470713722,0.18410968568074704,-0.4834297331777196,0.4535454527889387,-0.9439901013476738,0.9015970981066541
